rank,mountain name,heigh m,height ft,loc,prominence,range,parent mountain,first ascent
1,Mount Everest,8848,29029,Nepal,8848,Mahalangur Himalaya,none,1953
2,K2 ,8611,28251,Pakistan,4020,Baltoro Karakoram,Mount Everest,1954
3,Kangchenjunga,8586,28169,Nepal ,3922,Kangchenjunga Himalaya,Mount Everest,1955
4,Lhotse,8516,27940,Nepal,610,Mahalangur Himalaya,Mount Everest,1956
5,Makalu,8485,27838,Nepal,2378,Mahalangur Himalaya,Mount Everest,1955
6,Cho Oyu,8188,26864,Nepal,2340,Mahalangur Himalaya,Mount Everest,1954
7,Dhaulagiri I,8167,26795,Nepal,3357,Dhaulagiri Himalaya,K2,1960
8,Manaslu,8163,26781,Nepal,3092,Manaslu Himalaya,Cho Oyu,1956
9,Nanga Parbat,8126,26660,Pakistan,4608,Nanga Parbat Himalaya,Dhaulagiri,1953
10,Annapurna I,8091,26545,Nepal,2984,Annapurna Himalaya,Cho Oyu,1950
11,Gasherbrum I,8080,26509,Pakistan ,2155,Baltoro Karakoram,K2,1958
12,Broad Peak,8051,26414,Pakistan ,1701,Baltoro Karakoram,Gasherbrum I,1957
13,Gasherbrum II ,8035,26362,Pakistan,1524,Baltoro Karakoram,Gasherbrum I,1956
14,Shishapangma ,8027,26335,China,2897,Jugal Himalaya,Cho Oyu,1964
15,Gyachung Kang,7952,26089,Nepal ,672,Mahalangur Himalaya,Cho Oyu,1964
,Gasherbrum III,7946,26070,Pakistan ,355,Baltoro Karakoram,Gasherbrum II,1975
16,Annapurna II,7937,26040,Nepal,2437,Annapurna Himalaya,Annapurna I,1960
17,Gasherbrum IV ,7932,26024,Pakistan,712,Baltoro Karakoram,Gasherbrum III,1958
18,Himalchuli,7893,25896,Nepal,1633,Manaslu Himalaya,Manaslu,1960
19,Distaghil Sar,7884,25866,Pakistan,2525,Hispar Karakoram,K2,1960
20,Ngadi Chuli,7871,25823,Nepal,1011,Manaslu Himalaya,Manaslu,1970
,Nuptse,7864,25801,Nepal,305,Mahalangur Himalaya,Lhotse,1961
21,Khunyang Chhish,7823,25666,Pakistan,1765,Hispar Karakoram,Distaghil Sar,1971
22,Masherbrum,7821,25659,Pakistan,2457,Masherbrum Karakoram,Gasherbrum I,1960
23,Nanda Devi,7816,25643,India,3139,Garhwal Himalaya,Dhaulagiri,1936
24,Chomo Lonzo,7804,25604,China,590,Mahalangur Himalaya,Makalu,1954
25,Batura Sar,7795,25574,Pakistan,3118,Batura Karakoram,Distaghil Sar,1976
26,Kanjut Sar,7790,25558,Pakistan,1660,Hispar Karakoram,Khunyang Chhish,1959
27,Rakaposhi,7788,25551,Pakistan,2818,Rakaposhi-Haramosh Karakoram,Khunyang Chhish,1958
28,Namcha Barwa,7782,25531,China,4106,Assam Himalaya,Kangchenjunga,1992
29,Kamet,7756,25446,India,2825,Garhwal Himalaya,Nanda Devi,1931
30,Dhaulagiri II,7751,25430,Nepal,2397,Dhaulagiri Himalaya,Dhaulagiri,1971
31,Saltoro Kangri ,7742,25400,India ,2160,Saltoro Karakoram,Gasherbrum I,1962
32,Kumbhakarna ,7711,25299,Nepal,1036,Kangchenjunga Himalaya,Kangchenjunga,1962
33,Tirich Mir,7708,25289,Pakistan,3910,Hindu Kush,Batura Sar,1950
,Molamenqing,7703,25272,China,433,Langtang Himalaya,Shishapangma,1981
34,Gurla Mandhata,7694,25243,China,2788,Nalakankar Himalaya,Dhaulagiri,1985
35,Saser Kangri I ,7672,25171,India,2304,Saser Karakoram,Gasherbrum I,1973
36,Chogolisa,7665,25148,Pakistan,1624,Masherbrum Karakoram,Masherbrum,1975
,Dhaulagiri IV,7661,25135,Nepal,469,Dhaulagiri Himalaya,Dhaulagiri II,1975
37,Kongur Tagh,7649,25095,China,3585,Kongur Shan (Eastern Pamirs),Distaghil Sar,1981
,Dhaulagiri V,7618,24993,Nepal,340,Dhaulagiri Himalaya,Dhaulagiri IV,1975
38,Shispare,7611,24970,Pakistan,1240,Batura Karakoram,Batura Sar,1974
39,Trivor,7577,24859,Pakistan,997,Hispar Karakoram,Distaghil Sar,1960
40,Gangkhar Puensum,7570,24836,Bhutan,2995,Kula Kangri Himalaya,Kangchenjunga,0
41,Gongga Shan,7556,24790,China,3642,Daxue Shan (Hengduan Shan),Mount Everest,1932
42,Annapurna III,7555,24787,Nepal,703,Annapurna Himalaya,Annapurna I,1961
43,Skyang Kangri,7545,24754,Pakistan,1085,Baltoro Karakoram,K2,1976
44,Changtse,7543,24747,China,514,Mahalangur Himalaya,Mount Everest,1982
45,Kula Kangri,7538,24731,China,1654,Kula Kangri Himalaya,Gangkhar Puensum,1986
46,Kongur Tiube,7530,24705,China,840,Kongur Shan (Eastern Pamirs),Kongur Tagh,1956
47,Mamostong Kangri,7516,24659,India,1803,Rimo Karakoram,Gasherbrum I,1984
48,Saser Kangri II E,7513,24649,India,1458,Saser Karakoram,Saser Kangri I,2011
49,Muztagh Ata,7509,24636,China,2698,Muztagata (Eastern Pamirs),Kongur Tagh,1956
50,Ismoil Somoni Peak,7495,24590,Tajikistan,3402,Pamir (Academy of Sciences Range),Muztagh Ata,1933
51,Saser Kangri III,7495,24590,India,835,Saser Karakoram,Saser Kangri I,1986
52,Noshaq,7492,24580,Afghanistan • Pakistan,2024,Hindu Kush,Tirich Mir,1960
53,Pumari Chhish,7492,24580,Pakistan,884,Hispar Karakoram,Khunyang Chhish,1979
54,Passu Sar,7476,24528,Pakistan,647,Batura Karakoram,Batura Sar,1994
55,Yukshin Gardan Sar,7469,24505,Pakistan,1374,Hispar Karakoram,Pumari Chhish,1984
56,Teram Kangri I,7462,24482,India ,1703,Siachen Karakoram,Gasherbrum I,1975
57,Jongsong Peak,7462,24482,India,1298,Kangchenjunga Himalaya,Kangchenjunga,1930
58,Malubiting,7458,24469,Pakistan,2193,Rakaposhi-Haramosh Karakoram,Rakaposhi,1971
59,Gangapurna,7455,24459,Nepal,563,Annapurna Himalaya,Annapurna III,1965
60,Jengish Chokusu ,7439,24406,Kyrgyzstan • China,4148,Tian Shan,Ismail Samani Peak,1956
,Sunanda Devi ,7434,24390,India,229,Garhwal Himalaya,Nanda Devi,1939
61,K12,7428,24370,India ,1978,Saltoro Karakoram,Saltoro Kangri,1974
62,Yangra,7422,24350,Nepal,2352,Ganesh Himalaya,Manaslu,1955
63,Sia Kangri,7422,24350,Pakistan,642,Siachen Karakoram,Gasherbrum I,1934
64,Momhil Sar,7414,24324,Pakistan,907,Hispar Karakoram,Trivor,1964
65,Kabru N,7412,24318,India ,720,Kangchenjunga Himalaya,Kangchenjunga,1994
66,Skil Brum,7410,24311,Pakistan,1152,Baltoro Karakoram,K2,1957
67,Haramosh Peak,7409,24308,Pakistan,2277,Rakaposhi-Haramosh Karakoram,Malubiting,1958
68,Istor-o-Nal,7403,24288,Pakistan,1043,Hindu Kush,Noshaq,1969
69,Ghent Kangri,7401,24281,India,1493,Saltoro Karakoram,Saltoro Kangri,1961
70,Ultar,7388,24239,Pakistan,688,Batura Karakoram,Shispare,1996
71,Rimo I,7385,24229,India,1428,Rimo Karakoram,Teram Kangri I,1988
72,Churen Himal,7385,24229,Nepal,650,Dhaulagiri Himalaya,Dhaulagiri IV,1970
73,Teram Kangri III,7382,24219,India,520,Siachen Karakoram,Teram Kangri I,1979
74,Sherpi Kangri,7380,24213,India,1320,Saltoro Karakoram,Ghent Kangri,1976
75,Labuche Kang,7367,24170,China,1957,Labuche Himalaya,Cho Oyu,1987
76,Kirat Chuli,7362,24153,India,1168,Kangchenjunga Himalaya,Kangchenjunga,1939
,Abi Gamin,7355,24131,India ,217,Garhwal Himalaya,Kamet,1950
,Gimmigela ,7350,24114,India ,432,Kangchenjunga Himalaya,Kangchenjunga,1994
,Nangpai Gosum,7350,24114,Nepal,427,Mahalangur Himalaya,Cho Oyu,1996
