Mountain,Metres,Feet,Range,Location
Mount Everest,8848,29029,Himalayas,Nepal
K2,8612,28255,Karakoram,Pakistan
Kangchenjunga,8586,28169,Himalayas,Nepal
Lhotse,8516,27940,Himalayas,Nepal
Makalu,8485,27838,Himalayas,Nepal
Cho Oyu,8188,26864,Himalayas,Nepal
Dhaulagiri,8167,26795,Himalayas,Nepal
Manaslu,8163,26781,Himalayas,Nepal
Nanga Parbat,8126,26660,Himalayas,Pakistan
Annapurna,8091,26545,Himalayas,Nepal
Gasherbrum I,8080,26509,Karakoram,Pakistan
Broad Peak,8051,26414,Karakoram,Pakistan
Gasherbrum II,8035,26362,Karakoram,Pakistan
Shishapangma,8027,26335,Himalayas,China
Gasherbrum III,7952,26089,Karakoram,Pakistan
Gyachung Kang,7952,26089,Himalayas,Nepal
Annapurna II,7937,26040,Himalayas,Nepal
Gasherbrum IV,7932,26024,Karakoram,Pakistan
Himalchuli,7893,25896,Himalayas,Manaslu  Nepal
Distaghil Sar,7885,25869,Karakoram,Pakistan
Ngadi Chuli,7871,25823,Himalayas,Manaslu  Nepal
Nuptse,7861,25791,Himalayas,Everest Massif  Nepal
Khunyang Chhish,7852,25761,Karakoram,Pakistan
Masherbrum,7821,25659,Karakoram,Pakistan
Nanda Devi,7816,25643,Himalayas,India 
Chomo Lonzo,7804,25604,Himalayas,Makalu Massiff  Nepal
Batura Sar,7795,25574,Karakoram,Pakistan
Kanjut Sar,7790,25558,Karakoram,Pakistan
Rakaposhi,7788,25551,Karakoram,Pakistan
Namcha Barwa,7782,25531,Himalayas,China
Batura II,7762,25466,Karakoram,Pakistan
Kamet,7756,25446,Himalayas,India 
Saltoro Kangri,7742,25400,Karakoram,India 
Batura III,7729,25358,Karakoram,Pakistan
Jannu,7710,25295,Himalayas,Kangchenjunga  Nepal
Tirich Mir,7708,25289,Hindu Kush,Pakistan
Molamenqing,7703,25272,Himalayas,Shishapangma
Gurla Mandhata,7694,25243,Himalayas (Nalakankar),China
Saser Kangri,7672,25171,Karakoram,Pakistan 
Chogolisa,7665,25148,Karakoram,Pakistan
Kongur Tagh,7649,25095,Pamir or Kunlun Mountains,China
Shispare,7611,24970,Karakoram,Pakistan
Silberzacken,7597,24925,Himalaya,Pakistan
Changtse,7583,24879,Himalayas,Everest Massif  China
Trivor,7577,24859,Karakoram,Karakoram
Gangkhar Puensum,7570,24836,Himalayas,Bhutan
Gongga Shan,7556,24790,Daxue Shan,Sichuan  China
Annapurna III,7555,24787,Himalayas,Nepal
Kula Kangri,7554,24783,Himalayas,China 
Skyang Kangri,7545,24754,Karakoram,Pakistan
Liankang Kangri,7535,24721,Himalayas,Bhutan
Yukshin Gardan Sar,7530,24705,Karakoram,Pakistan
Annapurna IV,7525,24688,Himalayas,Nepal
Saser Kangri II,7518,24665,Karakoram,India 
Mamostong Kangri,7516,24659,Karakoram,India 
Muztagh Ata,7509,24636,Kongur Tagh,China 
Ismoil Somoni Peak,7495,24590,Pamir Mountains,Tajikistan
Saser Kangri III,7495,24590,Karakoram,India 
Noshaq,7492,24580,Hindu Kush,Pakistan
Pumari Chhish,7492,24580,Karakoram,Pakistan
Passu Sar,7476,24528,Karakoram,Pakistan
Jongsong Peak,7462,24482,Himalayas,India
Malubiting,7458,24469,Karakoram,Pakistan
Gangapurna,7455,24459,Annapurna Himalaya,Nepal
Muchu Chhish (Batura V),7453,24452,Karakoram,Pakistan
Jengish Chokusu,7439,24406,Tian Shan,China
K12,7428,24370,Karakoram,India
Sia Kangri,7422,24350,Karakoram,Pakistan
Momhil Sar,7414,24324,Karakoram,Pakistan
Istor-o-Nal,7403,24288,Hindu Kush,Pakistan
Ghent Kangri,7401,24281,Karakoram,India 
Haramosh Peak,7397,24268,Karakoram,Pakistan
Kabru,7394,24259,Himalayas,Kanchenjunga  India 
Ultar,7388,24239,Karakoram,Pakistan
Rimo I,7385,24229,Karakoram,India 
Sherpi Kangri,7380,24213,Karakoram,Pakistan
Churen Himal,7371,24183,Himalayas,Nepal
Labuche Kang,7367,24170,Himalayas,near
Kirat Chuli,7365,24163,Himalayas,Nepal
Skil Brum,7360,24147,Karakoram,Pakistan
Abi Gamin,7355,24131,Himalayas,India
Gimmigela Chuli,7350,24114,Himalayas,Nepal
Saraghrar,7340,24081,Hindu Kush,Pakistan
Bojohagur Duanasir,7329,24045,Karakoram,Pakistan
Chamlang,7319,24012,Himalayas,Khumbu  Nepal
Chongtar Kangri,7315,23999,Karakoram,Pakistan
Jomolhari,7314,23996,Himalayas,Bhutan
Baltoro Kangri,7312,23990,Karakoram,Pakistan
Siguang Ri,7308,23976,Himalayas,China
Summa Ri,7302,23957,Himalayas,Pakistan
The Crown,7295,23934,Karakoram,China 
Gyala Peri,7294,23930,Himalayas,China
Porong Ri,7292,23924,Himalayas,China
Baintha Brakk,7285,23901,Karakoram,Pakistan
Yutmaru Sar,7283,23894,Karakoram,Pakistan
K6,7282,23891,Karakoram,Pakistan
Kangpenqing,7281,23888,Himalayas,China
Mana Peak,7272,23858,Himalayas,India 
Muztagh Tower,7273,23862,Karakoram,Pakistan
Diran,7257,23809,Karakoram,Pakistan
Apsarasas Kangri,7245,23770,Karakoram,China
Langtang Lirung,7227,23711,Himalayas,Nepal
Karjiang,7221,23691,Himalayas,China
Annapurna South,7219,23684,Himalayas,Nepal
Khartaphu,7213,23665,Himalayas,China
Tongshanjiabu,7207,23645,Himalayas,Bhutan
Langtang Ri,7205,23638,Himalayas,Nepal
Kangphu Kang,7204,23635,Himalayas,Bhutan
Singhi Kangri,7202,23629,Himalayas,India
